iter	RMSE
0	0.250560637
1	0.2463317133
2	0.2425264269
3	0.2383769573
4	0.2345323582
5	0.2311553067
6	0.2280860589
7	0.2257079693
8	0.2227599079
9	0.2202409735
10	0.2179910207
11	0.2156774743
12	0.2136630357
13	0.2118963923
14	0.2103031313
15	0.2089019983
16	0.2073908087
17	0.2061116795
18	0.2048905986
19	0.2036826428
20	0.202692698
21	0.201750045
22	0.2009079529
23	0.1999956206
24	0.1991268831
25	0.1983554416
26	0.1976136361
27	0.196930117
28	0.1962977579
29	0.1956830342
30	0.1951485968
31	0.1946183306
32	0.1941232868
33	0.1936806933
34	0.1933381828
35	0.1929443486
36	0.1926130215
37	0.1923084361
38	0.1919919474
39	0.1916809814
40	0.1914101188
41	0.1911907332
42	0.190890737
43	0.1905923498
44	0.1904098973
45	0.1901916916
46	0.1899678785
47	0.189756925
48	0.1896017052
49	0.1894483362
50	0.189376298
51	0.1892167584
52	0.1890666143
53	0.1888890375
54	0.1887272144
55	0.1885690808
56	0.1884233809
57	0.1883162048
58	0.1881935478
59	0.1880149294
60	0.1878339237
61	0.1876894297
62	0.1875789725
63	0.1873771726
64	0.1872391281
65	0.187128087
66	0.1869986419
67	0.186853379
68	0.1867014794
69	0.1865919926
70	0.1864612473
71	0.1863824575
72	0.1862747908
73	0.1861734879
74	0.1859962148
75	0.185885675
76	0.1857639715
77	0.1856572038
78	0.1855297452
79	0.1854187804
80	0.1853160691
81	0.1852375769
82	0.1851402571
83	0.1850298781
84	0.184863801
85	0.184767413
86	0.1846823129
87	0.1846037565
88	0.1845196396
89	0.1844764733
90	0.1844058385
91	0.1843021065
92	0.1841683921
93	0.1840644046
94	0.1839640165
95	0.1838803267
96	0.1837560654
97	0.1836707754
98	0.183612328
99	0.1835551687
100	0.1834754067
101	0.1834050215
102	0.1833101149
103	0.1832290617
104	0.1831341762
105	0.1830850735
106	0.1830066703
107	0.182920752
108	0.1829143275
109	0.1827843026
110	0.1826934994
111	0.1825994522
112	0.1825420364
113	0.1824752249
114	0.1823709691
115	0.1822968552
116	0.1822550848
117	0.1820913519
118	0.1820487338
119	0.1819354821
120	0.1818643115
121	0.1818083486
122	0.1817381566
123	0.1817094592
124	0.1816314316
125	0.1815540853
126	0.1814743638
127	0.1814039082
128	0.1813669801
129	0.1813122485
130	0.1812229865
131	0.1811418289
132	0.1810686627
133	0.1810203597
134	0.1809572718
135	0.1808618705
136	0.1807564377
137	0.1806891637
138	0.18063577
139	0.180576546
140	0.1805067289
141	0.1803872822
142	0.1802975552
143	0.1802564876
144	0.1802141699
145	0.1801571312
146	0.1800585942
147	0.1799991683
148	0.1799494672
149	0.1798816674
150	0.1798324992
151	0.1797845474
152	0.1797314949
153	0.1796622369
154	0.179616606
155	0.1795694767
156	0.1795246831
157	0.1794199968
158	0.1793824019
159	0.1793200642
160	0.1792435245
161	0.1791654315
162	0.1791147082
163	0.1790594232
164	0.1789893525
165	0.1788749425
166	0.1788163115
167	0.1787542683
168	0.1786717905
169	0.1786166663
170	0.1785459278
171	0.1784925557
172	0.178413381
173	0.1783679188
174	0.1783318619
175	0.1782453598
176	0.1781494692
177	0.1780794757
178	0.1780105174
179	0.1779455118
180	0.1778827383
181	0.1778321393
182	0.1777636992
183	0.1777147226
184	0.1776138791
185	0.1775439806
186	0.1774951358
187	0.1774011683
188	0.1773341309
189	0.1772830048
190	0.1772273311
191	0.1771816386
192	0.1771349561
193	0.1770813427
194	0.1769918293
195	0.1769229221
196	0.1768758253
197	0.1768209256
198	0.1767721652
199	0.1767217687
200	0.1766511282
201	0.1765738797
202	0.1765221061
203	0.1764536233
204	0.1763895887
205	0.1763285697
206	0.1762623122
207	0.1762156536
208	0.1761626752
209	0.1761038804
210	0.1760531796
211	0.1759662292
212	0.1758655041
213	0.1758086741
214	0.1756895658
215	0.1756201592
216	0.1755384193
217	0.1754918679
218	0.1754356067
219	0.1753764415
220	0.1753294127
221	0.1752563025
222	0.1751911933
223	0.1751181674
224	0.175070079
225	0.174999372
226	0.1749059261
227	0.1748495641
228	0.1747988931
229	0.1747418141
230	0.1746984825
231	0.1746145149
232	0.1745539094
233	0.174514574
234	0.1744669152
235	0.1744196645
236	0.1743805755
237	0.1743273501
238	0.1742182129
239	0.1741578096
240	0.1740497776
241	0.1739894821
242	0.1739140182
243	0.1738534675
244	0.1737744684
245	0.1737248802
246	0.1736662332
247	0.1736086627
248	0.1735486386
249	0.1734558377
250	0.173385828
251	0.1733384615
252	0.1733094026
253	0.1732556614
254	0.1731800196
255	0.1731464612
256	0.1730863011
257	0.1729815576
258	0.1729131509
259	0.1728406282
260	0.172759114
261	0.1726631243
262	0.1726315827
263	0.1725981223
264	0.1725519609
265	0.1724934035
266	0.172419245
267	0.1723471037
268	0.1723134483
269	0.1722495576
270	0.1721981923
271	0.17210347
272	0.172040264
273	0.171968299
274	0.1719091392
275	0.1718725922
276	0.1718159586
277	0.1717465975
278	0.1717011969
279	0.1716445756
280	0.1715928551
281	0.1715605634
282	0.171496211
283	0.1713990436
284	0.1713335399
285	0.1712451221
286	0.1711650975
287	0.1711139308
288	0.1710365662
289	0.1709887824
290	0.1709435342
291	0.1708990691
292	0.1708571206
293	0.1708174152
294	0.1707387121
295	0.1706957898
296	0.1705938241
297	0.1705394933
298	0.1704956092
299	0.1704426225
