iter	Passed	Remaining
0	1	327
1	1	275
2	2	244
3	3	246
4	4	244
5	4	235
6	5	232
7	5	217
8	6	214
9	7	210
10	8	212
11	8	210
12	9	210
13	10	212
14	11	218
15	12	217
16	13	218
17	13	218
18	14	220
19	15	218
20	16	218
21	17	216
22	17	215
23	18	213
24	19	212
25	20	211
26	20	209
27	21	208
28	22	206
29	22	205
30	23	204
31	24	202
32	24	200
33	25	199
34	26	198
35	27	198
36	27	196
37	28	196
38	29	196
39	30	196
40	30	195
41	31	194
42	32	192
43	32	191
44	33	190
45	34	189
46	34	188
47	35	187
48	36	186
49	37	185
50	37	183
51	38	181
52	38	181
53	39	180
54	40	179
55	41	178
56	41	178
57	42	177
58	43	176
59	43	175
60	44	174
61	45	173
62	46	173
63	46	172
64	47	171
65	48	170
66	48	169
67	49	168
68	50	167
69	50	166
70	51	165
71	52	164
72	52	164
73	53	163
74	54	162
75	54	161
76	55	160
77	56	160
78	56	159
79	57	159
80	58	159
81	59	158
82	60	157
83	61	157
84	61	156
85	62	155
86	63	155
87	63	154
88	64	152
89	65	152
90	65	151
91	66	150
92	67	149
93	67	148
94	68	147
95	69	146
96	70	146
97	70	145
98	71	145
99	72	144
100	72	143
101	73	142
102	74	142
103	75	141
104	75	140
105	76	139
106	77	139
107	77	138
108	78	136
109	78	135
110	79	135
111	80	134
112	80	133
113	81	132
114	82	132
115	82	131
116	83	130
117	84	130
118	85	129
119	85	128
120	86	127
121	87	126
122	87	126
123	88	125
124	89	124
125	89	123
126	90	123
127	91	122
128	91	121
129	92	121
130	93	120
131	94	119
132	95	119
133	95	118
134	96	117
135	97	117
136	98	116
137	98	116
138	99	115
139	100	114
140	100	113
141	101	113
142	102	112
143	103	111
144	103	111
145	104	110
146	105	109
147	105	108
148	107	108
149	108	108
150	108	107
151	109	106
152	110	105
153	110	105
154	111	104
155	112	103
156	112	102
157	113	102
158	114	101
159	115	100
160	115	100
161	116	99
162	117	98
163	117	97
164	118	96
165	119	96
166	119	95
167	120	94
168	121	93
169	122	93
170	123	93
171	124	92
172	124	91
173	125	90
174	126	90
175	127	89
176	127	88
177	128	87
178	128	87
179	129	86
180	130	85
181	130	84
182	131	84
183	132	83
184	133	82
185	133	81
186	134	81
187	134	80
188	135	79
189	136	78
190	136	77
191	137	77
192	138	76
193	139	76
194	140	75
195	140	74
196	141	74
197	142	73
198	142	72
199	143	71
200	144	71
201	144	70
202	145	69
203	146	68
204	146	68
205	147	67
206	147	66
207	148	65
208	149	65
209	150	64
210	151	63
211	152	63
212	153	62
213	154	62
214	155	61
215	155	60
216	156	59
217	157	59
218	158	58
219	159	57
220	159	57
221	160	56
222	161	55
223	161	54
224	162	54
225	163	53
226	164	52
227	164	52
228	165	51
229	166	50
230	166	49
231	167	49
232	167	48
233	168	47
234	169	46
235	170	46
236	171	45
237	171	44
238	172	44
239	173	43
240	173	42
241	174	41
242	175	41
243	176	40
244	176	39
245	177	38
246	178	38
247	178	37
248	179	36
249	180	36
250	180	35
251	181	34
252	182	33
253	182	33
254	183	32
255	184	31
256	184	30
257	185	30
258	186	29
259	187	28
260	188	28
261	189	27
262	189	26
263	190	25
264	191	25
265	191	24
266	192	23
267	193	23
268	194	22
269	194	21
270	195	20
271	196	20
272	197	19
273	197	18
274	198	18
275	199	17
276	199	16
277	200	15
278	200	15
279	201	14
280	202	13
281	203	12
282	203	12
283	204	11
284	205	10
285	206	10
286	207	9
287	207	8
288	208	7
289	209	7
290	210	6
291	210	5
292	211	5
293	212	4
294	213	3
295	213	2
296	214	2
297	215	1
298	215	0
299	216	0
