Case number,Annual weight,Total expenditure,Gross normal weekly household income - anonymised,Main source of household income - code,Internet connection in household,Economic position of household reference person,NS - SEC 8 Class of household reference person,Tenure type,Sex of household reference person,Number of persons in household,Number of adults,Number of children,Government Office Region modified,Annual weight r,Main income,Income,Expenditure,Household size
14999,2.8347236026893077,380.69576241740145,465.36,Earned income,Yes,Economically inactive,Routine and manual occupations,Public rented,Female,4 person,2 adults,Two or more children,East Midlands,0.5432482326305184,earnings,465.36,380.69577,4
14993,10.07794726927929,546.4134027620472,855.26,Earned income,Yes,Full-time working,"Never worked and long term unemployed, students and occupation not stated",Owned,Female,2 person,2 adults,No children,London,1.9313442190221135,earnings,855.26,546.4134,2
14993,4.088676479961983,242.18902276739956,160.96,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Female,1 person,1 adult,No children,South East,0.7835565588934637,earnings,160.96,242.18903,1
14984,4.57175971107853,421.38235317167056,656.22,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,2 person,2 adults,No children,Eastern,0.8761349362945383,earnings,656.22,421.38235,2
14981,7.349617296653988,370.4055773623035,398.8,Earned income,Yes,Full-time working,"Never worked and long term unemployed, students and occupation not stated",Owned,Male,1 person,1 adult,No children,South East,1.408485329268122,earnings,398.8,370.40558,1
14976,5.046701377040668,172.3971635612681,321.02,Earned income,No,Full-time working,Routine and manual occupations,Public rented,Male,1 person,1 adult,No children,Scotland,0.9671530589756172,earnings,321.02,172.39717,1
14975,2.7759570795652526,202.425,350.834,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Northern Ireland,0.531986178794054,other source,350.834,202.425,2
14972,11.882653092171838,730.6580398902931,1184.99,Earned income,Yes,Economically inactive,Not classified for other reasons,Public rented,Female,5 person or more,4 and more adults,No children,South East,2.2771991897763244,earnings,1184.99,730.658,5
14971,6.068373145585715,361.9309650553656,619.57,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,2 person,2 adults,No children,Wales,1.1629468859519203,earnings,619.57,361.93097,2
14970,5.090614981057947,659.9116888800478,1117.8415,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Yorkshire and the Humber,0.975568689955721,other source,1117.8416,659.9117,2
14964,7.154788025293453,338.70713502269285,375.8,Other income,Yes,Part-time working,Routine and manual occupations,Public rented,Male,4 person,2 adults,Two or more children,West Midlands,1.371148123894416,other source,375.8,338.70712,4
14960,5.83969112378174,238.21464019692692,819.4675,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,1 person,1 adult,No children,Wales,1.1191221179704758,earnings,819.4675,238.21465,1
14959,4.04408097841403,507.49314072260256,687.9345,Other income,Yes,Economically inactive,Not classified for other reasons,Owned,Male,2 person,2 adults,No children,Eastern,0.7750102486372492,other source,687.9345,507.49313,2
14954,4.705602763033465,92.62071369030873,209.85,Other income,Yes,Economically inactive,Not classified for other reasons,Public rented,Male,1 person,1 adult,No children,Yorkshire and the Humber,0.9017847038258111,other source,209.85,92.62071,1
14946,4.254093852894415,593.8101611345145,841.11,Earned income,No,Economically inactive,Not classified for other reasons,Owned,Male,3 person,3 adults,No children,West Midlands,0.8152572493617246,earnings,841.11,593.8102,3
14944,4.026040102582548,583.537635828171,534.7007692307692,Earned income,Yes,Part-time working,Routine and manual occupations,Public rented,Female,3 person,2 adults,One child,South West,0.7715528837282819,earnings,534.70074,583.53766,3
14943,9.8310295985146,371.216991741546,510.28,Earned income,No,Part-time working,Intermediate occupations,Public rented,Female,3 person,2 adults,One child,Scotland,1.8840247596854414,earnings,510.28,371.21698,3
14934,4.887583073759043,420.3176697892871,701.6,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,1 person,1 adult,No children,West Midlands,0.936659526218172,earnings,701.6,420.31766,1
14933,2.9561437921972624,252.03,332.465,Other income,Yes,Economically inactive,"Higher managerial, administrative and professional occupations",Private rented,Female,3 person,1 adult,Two or more children,Eastern,0.566517274907967,other source,332.465,252.03,3
14926,7.496550428189548,675.0049682587667,1184.99,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,3 person,3 adults,No children,South West,1.4366436879687143,earnings,1184.99,675.00494,3
14925,3.8207384936939426,675.4985775909968,521.042,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Female,2 person,2 adults,No children,Eastern,0.732208752935732,earnings,521.042,675.4986,2
14917,7.126698351106403,359.11582028828275,104.85,Other income,No,Unemployed and work related Government Training Programmes,"Never worked and long term unemployed, students and occupation not stated",Public rented,Female,2 person,2 adults,No children,Eastern,1.365765000882774,other source,104.85,359.1158,2
14915,5.372027872296482,350.90179293268204,585.67,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,1 person,1 adult,No children,South East,1.0294988352650356,earnings,585.67,350.9018,1
14913,5.196961032448455,1175.0,1184.99,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Male,3 person,2 adults,One child,West Midlands,0.9959489148250236,earnings,1184.99,1175.0,3
14913,6.234473632245685,162.2021551954545,169.942,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Female,1 person,1 adult,No children,Scotland,1.1947784887690318,other source,169.942,162.20215,1
14905,2.9752209416070023,326.3125917362227,523.08,Other income,Yes,Full-time working,Routine and manual occupations,Public rented,Male,2 person,2 adults,No children,Eastern,0.570173231944003,other source,523.08,326.3126,2
14904,3.9575836154444675,485.91612706901407,604.92,Earned income,Yes,Full-time working,Routine and manual occupations,Owned,Male,3 person,2 adults,One child,East Midlands,0.758433839030388,earnings,604.92,485.91614,3
14904,4.681592753287127,197.12511249627497,348.18,Earned income,Yes,Full-time working,Intermediate occupations,Owned,Female,1 person,1 adult,No children,Wales,0.8971834103001336,earnings,348.18,197.1251,1
14898,3.987007547503255,173.99,243.652,Other income,No,Economically inactive,Not classified for other reasons,Public rented,Male,2 person,2 adults,No children,East Midlands,0.7640726600684646,other source,243.652,173.99,2
14892,3.54759748902537,560.468327673829,990.17,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Female,2 person,2 adults,No children,Yorkshire and the Humber,0.6798638372253062,earnings,990.17,560.4683,2
14892,5.39597839061146,479.696844133556,1184.99,Earned income,Yes,Full-time working,"Higher managerial, administrative and professional occupations",Owned,Male,3 person,2 adults,One child,Scotland,1.0340887278150017,earnings,1184.99,479.69684,3
14885,4.35990721071988,299.1841428945302,189.492,Other income,Yes,Economically inactive,Intermediate occupations,Public rented,Female,2 person,1 adult,One child,Wales,0.8355353884977061,other source,189.492,299.18414,2
14878,4.866109080805325,435.305,467.512,Other income,Yes,Economically inactive,Not classified for other reasons,Private rented,Male,1 person,1 adult,No children,Eastern,0.932544236562221,other source,467.512,435.305,1
